"ObjectID","Title","ConstituentID","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","URL","Circumference (cm)","Depth (cm)","Diameter (cm)","Height (cm)","Length (cm)","Weight (kg)","Width (cm)","Seat Height (cm)","Duration (sec.)"
"16537","Plate (folio 16) from JEUX DE TRAMES","[5625]","1962","","irreg. composition  12 15/16 x 9 13/16"" (33 x 25 cm)","Gift of The Contemporaries, Inc.","387.1962.6","Illustrated Book","Drawings & Prints","1962-12-11","N","","","","","33.0","","","25.0","",""
"5392","Exposition Albert Guillaume, 1896","[2404]","1896","Poster","","Gift of Ludwig Charell","160.1956","Design","Architecture & Design","1956-03-19","N","","","","","","","","","",""
"99354","Popular Print for the First Poligraphic Triennial of San Juan: Latin America & the Caribbean","[26617]","2004","Twenty-six photolithographs","Sheet: (each) 12 3/16 x 20 7/8"" (31 x 53 cm)","Gift of the artist","528.2005.1-26","Print","Drawings & Prints","2005-06-02","N","","","","","31.0","","","53.0","",""
"55792","Diptheria Innoculation, Harlem Clinic","[1190]","Before 1941","Gelatin silver print","12 7/8 × 10 3/8"" (32.7 × 26.4 cm)","Purchase","644.1941","Photograph","Photography","1941-12-10","Y","http://www.moma.org/collection/works/55792","","","","32.7","","","26.4","",""
"37252","Head of a Man","[4400]","1960","Watercolor and pencil on paper","25 1/4 x 19 7/8"" (65.5 x 50.5 cm)","Gift of Mrs. Samuel I. Rosenman","511.1964","Drawing","Drawings & Prints","1964-06-15","Y","http://www.moma.org/collection/works/37252","","","","64.1","","","50.5","",""
"66087","Ballade von der Judenhure Marie Sanders","[5564]","1991","Lithograph","composition and sheet: 21 1/16 x 48 1/8"" (53.5 x 122.2 cm)","John B. Turner Fund","287.1992","Print","Drawings & Prints","1992-05-20","Y","http://www.moma.org/collection/works/66087","","","","53.5","","","122.2","",""
"4283","Knitting Wool Container","[3891]","1949","Plastic","9 3/4 x 1 3/4"" (24.7 x 4.4cm)","Gift of the manufacturer","515.1956.a-k","Design","Architecture & Design","1956-10-25","Y","http://www.moma.org/collection/works/4283","","","4.4","","24.7","","","",""
"76236","MAN ANIMAL","[4400]","(December 9-13) 1963","Lithograph, printed in black","composition  30 1/8 x 22 5/16"" (76.5 x 56.7 cm)
sheet  30 1/8 x 22 5/16"" (76.5 x 56.7 cm)","Gift of Kleiner, Bell & Co.","1272.1967","Print","Drawings & Prints","1969-12-04","N","","","","","76.5","","","56.7","",""
"60329","(Untitled)","[4496]","-1952","Woodcut","","Given anonymously","24.1966","Print","Drawings & Prints","1966-01-11","N","","","","","","","","","",""
"5207","Remember Belgium","[6519]","1918","Poster","30 x 19 13/16"" (76.2 x 50.3 cm)","Gift of Mrs. M. E. Wormser","141.1943","Design","Architecture & Design","1943-05-12","Y","http://www.moma.org/collection/works/5207","","","","76.2","","","50.3","",""
